artefact_id,type,slug,artefact_name,,,,,,,
526196f8c0c715e8150043e1,article,berners-lee-and-shadbolt-join-open-data-champions-odi-event,Berners Lee and Shadbolt join open data champions at ODI event,tim berners-lee,nigel shadbolt,event,board,,,,
526196f8c0c715e8150043e3,article,the-power-of-the-public-domain,The Power of the Public Domain,blog,world wide web,,,,,,
526196f8c0c715e8150043e5,article,publishers-guide-open-data-licensing,Publisher's Guide to Open Data Licensing,guides,licensing,publishing,,,,,
526196f8c0c715e8150043e7,article,reusers-guide-open-data-licensing,Reuser's Guide to Open Data Licensing,guides,licensing,,,,,,
526196f8c0c715e8150043e9,article,published-guides-licensing,Published Guides to Licensing,guides,licensing,,,,,,
526196f8c0c715e8150043eb,article,draft-guide-open-data-engagement,Draft Guide to Open Data Engagement,guides,engagement,,,,,,
526196f8c0c715e8150043ed,article,tech-team-week-notes-31,Tech Team Week Notes #31,tech team,notes,,,,,,
526196f8c0c715e8150043ef,article,three-months-open-development,Three Months of Open Development,blog,tech team,,,,,,
526196f8c0c715e8150043f1,article,training-odi-it-s-date,Training at the ODI - Itâs a Date,training,courses,,,,,,
526196f8c0c715e8150043f3,article,odi-calls-government-act-fast-response-shakespeare-review,ODI calls for government to act fast in response to Shakespeare Review,uk government,blog,,,,,,
526196f8c0c715e8150043f5,article,git-data-publishing,Git for Data Publishing,github,publishing,,,,,,
526196f8c0c715e8150043f7,article,tech-team-week-notes-33,Tech Team Week Notes #33,tech team,notes,,,,,,
526196f8c0c715e8150043f9,article,guest-blog-hacking-public-services-better,Guest blog: Hacking Public Services Better,blog,hacking,,,,,,
526196f8c0c715e8150043fb,article,odi-experience-data-moment-you-walk,The ODI Experience: Data from the moment you walk in,data,space,,,,,,
526196f8c0c715e8150043fd,article,tech-team-week-notes-34,Tech Team Week Notes #34,tech team,notes,,,,,,
526196f8c0c715e8150043ff,article,guest-blog-where-are-armchair-auditors,Guest Blog: Where are the Armchair Auditors?,blog,armchair auditors,,,,,,
526196f8c0c715e815004401,article,guest-blog-crime-and-justice-open-data-sources-and-resources,Guest blog: Crime and Justice - Open Data Sources and Resources,open data challenge series,crime,,,,,,
526196f8c0c715e815004403,article,open-data-certificates-beta,Open Data Certificates Beta,open data certificates,,,,,,,
526196f8c0c715e815004405,article,tech-team-week-notes-36,Tech Team Week Notes #36,tech team,notes,,,,,,
